Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Title,Author,Bookshop.org link,Short description,Resource type,Book type,Category,Long Description,Thumbnail
"Bud, Not Buddy",bud-not-buddy,5ee119e7a0db1f13edda4aa0,5f0df7388fe972aafaa1e98f,Tue Jul 14 2020 18:19:36 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:19:36 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:19:39 GMT+0000 (Coordinated Universal Time),"Bud, Not Buddy",Christopher Paul Curtis,https://bookshop.org/books/bud-not-buddy/9780440413288,"""A classic about a boy who decides to hit the road to find his father. """,,Children's Book,,"<p>The Newbery Medal and Coretta Scott King Award-winning classic about a boy who decides to hit the road to find his father.<br><br>It's 1936, in Flint Michigan. Times may be hard, and ten-year-old Bud may be a motherless boy on the run, but Bud's got a few things going for him:<br>1. He has his own suitcase full of special things.<br>2. He's the author of Bud Caldwell's Rules and Things for Having a Funner Life and Making a Better Liar Out of Yourself.<br>3. His momma never told him who his father was, but she left a clue: flyers advertising Herman E. Calloway and his famous band, the Dusky Devastators of the Depression<br>Bud's got an idea that those flyers will lead him to his father. Once he decides to hit the road to find this mystery man, nothing can stop him--not hunger, not fear, not vampires, not even Herman E. Calloway himself.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df717befda87d4159e92d_bud_not_buddy.jpg
"Stamped: Racism, Antiracism, and You",stamped-racism-antiracism-and-you,5ee119e7a0db1f13edda4aa0,5f0df6e6efc408ba7ec92de0,Tue Jul 14 2020 18:18:14 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:18:14 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:19:39 GMT+0000 (Coordinated Universal Time),"Stamped: Racism, Antiracism, and You",Jason Reynolds and Ibram X. Kendi,https://bookshop.org/books/stamped-racism-antiracism-and-you-a-remix-of-the-national-book-award-winning-stamped-from-the-beginning/9780316453691,"A timely, crucial, and empowering exploration of racism--and antiracism--in America. This is NOT a history book.This is a book about the here and now.",,Children's Book,,"<p>The construct of race has always been used to gain and keep power, to create dynamics that separate and silence. This remarkable reimagining of Dr. Ibram X. Kendi's National Book Award-winning Stamped from the Beginning reveals the history of racist ideas in America, and inspires hope for an antiracist future. It takes you on a race journey from then to now, shows you why we feel how we feel, and why the poison of racism lingers. It also proves that while racist ideas have always been easy to fabricate and distribute, they can also be discredited. Through a gripping, fast-paced, and energizing narrative written by beloved award-winner Jason Reynolds, this book shines a light on the many insidious forms of racist ideas--and on ways readers can identify and stamp out racist thoughts in their daily lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df6cc2fcb3779041021a4_stamped.jpg
Opposite of Always,opposite-of-always,5ee119e7a0db1f13edda4aa0,5f0df69eff7405f4f7d37579,Tue Jul 14 2020 18:17:02 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:17:02 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:19:39 GMT+0000 (Coordinated Universal Time),Opposite of Always,Justin A. Reynolds,https://bookshop.org/books/opposite-of-always/9780062748379,"A hilarious and heartfelt novel about the choices we make, the people we choose, and the moments that make a life worth reliving. ",Children's Book,,,"<p>When Jack and Kate meet at a party, bonding until sunrise over their mutual love of Froot Loops and their favorite flicks, Jack knows he's falling--hard. Soon she's meeting his best friends, Jillian and Franny, and Kate wins them over as easily as she did Jack.<br><br>But then Kate dies. And their story should end there.<br><br>Yet Kate's death sends Jack back to the beginning, the moment they first meet, and Kate's there again. Healthy, happy, and charming as ever. Jack isn't sure if he's losing his mind.<br><br>Still, if he has a chance to prevent Kate's death, he'll take it. Even if that means believing in time travel. However, Jack will learn that his actions are not without consequences. And when one choice turns deadly for someone else close to him, he has to figure out what he's willing to do to save the people he loves.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df6689f97e0768cc55cdb_opposite_of_always.jpeg
The Hate U Give,the-hate-u-give,5ee119e7a0db1f13edda4aa0,5f0df55cb754b45d73e402d4,Tue Jul 14 2020 18:11:40 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:14:54 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),The Hate U Give,Angie Thomas,https://bookshop.org/books/the-hate-u-give-collector-s-edition/9780062872340,A sixteen-year-old moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends.,,Children's Book,,"<p>Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed.<br><br>Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil's name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr.<br><br>But what Starr does--or does not--say could upend her community. It could also endanger her life.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df5c9cab0572ee17ead24_the_hate_you_give.jpg
"Roll of Thunder, Hear My Cry ",roll-of-thunder-hear-my-cry,5ee119e7a0db1f13edda4aa0,5f0df53e55260a662656e495,Tue Jul 14 2020 18:11:10 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:11:10 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),"Roll of Thunder, Hear My Cry ",Mildred D. Taylor,https://bookshop.org/books/roll-of-thunder-hear-my-cry-9780613883511/9780140384512,The vivid story of a black family whose warm ties to each other and their land give them strength to defy rural Southern racism during the Depression,,Children's Book,,"<p>With the land to hold them together, nothing can tear the Logans apart. Why is the land so important to Cassie's family? It takes the events of one turbulent year - the year of the night riders and the burnings, the year a white girl humiliates Cassie in public simply because she is black - to show Cassie that having a place of their own is the Logan family's lifeblood. It is the land that gives the Logans their courage and pride, for no matter how others may degrade them, the Logans posess something no one can take away.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df530150b6b3cbe26d485_roll_of_thunder_hear_my_cry.jpg
March: Book Three,march-book-three,5ee119e7a0db1f13edda4aa0,5f0df504dbb24116d8543198,Tue Jul 14 2020 18:10:12 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:10:12 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),March: Book Three,"John Lewis, Andrew Aydin, and Nate Powell",https://bookshop.org/books/march-book-three/9781603094023,"Bringing the lessons of history to vivid life for a new generation, urgently relevant for today's world",,Children's Book,,"<p>By the fall of 1963, the Civil Rights Movement has penetrated deep into the American consciousness, and as chairman of the Student Nonviolent Coordinating Committee, John Lewis is guiding the tip of the spear. Through relentless direct action, SNCC continues to force the nation to confront its own blatant injustice, but for every step forward, the danger grows more intense: Jim Crow strikes back through legal tricks, intimidation, violence, and death. The only hope for lasting change is to give voice to the millions of Americans silenced by voter suppression: ""One Man, One Vote.""<br>To carry out their nonviolent revolution, Lewis and an army of young activists launch a series of innovative campaigns, including the Freedom Vote, Mississippi Freedom Summer, and an all-out battle for the soul of the Democratic Party waged live on national television.<br>With these new struggles come new allies, new opponents, and an unpredictable new president who might be both at once. But fractures within the movement are deepening ... even as 25-year-old John Lewis prepares to risk everything in a historic showdown high above the Alabama river, in a town called Selma.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df4f87552bc1f9298df89_march_book_3.jpg
March: Book Two,march-book-two,5ee119e7a0db1f13edda4aa0,5f0df4a6b754b43514e402d2,Tue Jul 14 2020 18:08:38 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:08:38 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),March: Book Two,"John Lewis, Andrew Aydin, and Nate Powell",https://bookshop.org/books/march-book-two/9781603094009,"Bringing the lessons of history to vivid life for a new generation, urgently relevant for today's world",,Children's Book,,"<p>After the success of the Nashville sit-in campaign, John Lewis is more committed than ever to changing the world through nonviolence - but as he and his fellow Freedom Riders board a bus into the vicious heart of the deep south, they will be tested like never before. Faced with beatings, police brutality, imprisonment, arson, and even murder, the movement's young activists place their lives on the line while internal conflicts threaten to tear them apart.<br>But their courage will attract the notice of powerful allies, from Martin Luther King, Jr. to Attorney General Robert F. Kennedy... and once Lewis is elected chairman of the Student Nonviolent Coordinating Committee, this 23-year-old will be thrust into the national spotlight, becoming one of the ""Big Six"" leaders of the civil rights movement and a central figure in the landmark 1963 March on Washington for Jobs and Freedom.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df46c4616788081de7f79_march_book_2.jpg
March: Book One,march-book-one,5ee119e7a0db1f13edda4aa0,5f0df43675171bebd4215395,Tue Jul 14 2020 18:06:46 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:06:46 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),March: Book One,"John Lewis, Andrew Aydin, and Nate Powell",https://bookshop.org/books/march-book-one-9781603093002/9781603093002,"Bringing the lessons of history to vivid life for a new generation, urgently relevant for today's world",,Children's Book,,"<p>March is a vivid first-hand account of John Lewis' (an American icon and key figure of the civil rights movement) lifelong struggle for civil and human rights, meditating in the modern age on the distance traveled since the days of Jim Crow and segregation. Rooted in Lewis' personal story, it also reflects on the highs and lows of the broader civil rights movement.<br>Book One spans John Lewis' youth in rural Alabama, his life-changing meeting with Martin Luther King, Jr., the birth of the Nashville Student Movement, and their battle to tear down segregation through nonviolent lunch counter sit-ins, building to a stunning climax on the steps of City Hall.<br>Many years ago, John Lewis and other student activists drew inspiration from the 1958 comic book ""Martin Luther King and the Montgomery Story."" Now, his own comics bring those days to life for a new audience, testifying to a movement whose echoes will be heard for generations.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df423d0981fe4e1af493d_march_book_1.jpg
Genesis Begins Again,genesis-begins-again,5ee119e7a0db1f13edda4aa0,5f0df3eaa2b3190b4537678b,Tue Jul 14 2020 18:05:30 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:05:30 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:15:02 GMT+0000 (Coordinated Universal Time),Genesis Begins Again,Alicia D. Williams,https://bookshop.org/books/genesis-begins-again-9781481465809/9781481465809,A thirteen-year-old who must overcome internalized racism and a verbally abusive family to finally learn to love herself.,,Children's Book,,"<p>There are ninety-six things Genesis hates about herself. She knows the exact number because she keeps a list. Like #95: Because her skin is so dark, people call her charcoal and eggplant--even her own family. And #61: Because her family is always being put out of their house, belongings laid out on the sidewalk for the world to see. When your dad is a gambling addict and loses the rent money every month, eviction is a regular occurrence.<br>What's not so regular is that this time they all don't have a place to crash, so Genesis and her mom have to stay with her grandma. It's not that Genesis doesn't like her grandma, but she and Mom always fight--Grandma haranguing Mom to leave Dad, that she should have gone back to school, that if she'd married a lighter skinned man none of this would be happening, and on and on and on. But things aren't all bad. Genesis actually likes her new school; she's made a couple friends, her choir teacher says she has real talent, and she even encourages Genesis to join the talent show.<br>But how can Genesis believe anything her teacher says when her dad tells her the exact opposite? How can she stand up in front of all those people with her dark, dark skin knowing even her own family thinks lesser of her because of it? Why, why, why won't the lemon or yogurt or fancy creams lighten her skin like they're supposed to? And when Genesis reaches #100 on the list of things she hates about herself, will she continue on, or can she find the strength to begin again?</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df3dead98bcbc7249ee21_genesis_begins_again.jpg
The Crossover,the-crossover,5ee119e7a0db1f13edda4aa0,5f0df3a08525af63824604fd,Tue Jul 14 2020 18:04:16 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:04:16 GMT+0000 (Coordinated Universal Time),Tue Jul 14 2020 18:04:27 GMT+0000 (Coordinated Universal Time),The Crossover,Kwame Alexander,https://bookshop.org/books/the-crossover-9780544107717/9780544935204,"The Crossover is a 2015 children's book by American author Kwame Alexander and the winner of the 2015 Newbery Medal and Coretta Scott King Award Honor. The book, which is told entirely through verse, was first published in the United States in hardback on March 18, 2014 through HMH Books for Young Readers",,,,"<p>""With a bolt of lightning on my kicks . . . The court is SIZZLING. My sweat is DRIZZLING. Stop all that quivering. 'Cuz tonight I'm delivering,"" raps twelve-year-old Josh Bell. Thanks to their dad, he and his twin brother, Jordan, are kings on the court. But Josh has more than basketball in his blood--he's got mad beats, too, which help him find his rhythm when it's all on the line. As their winning season unfolds, things begin to change. When Jordan meets a girl, the twins' bond unravels.Told in dynamic verse, this fast and furious middle grade novel that started it all absolutely bounces with rhythm and bursts with heart.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0df34e150b6b604b25bb06_crossover.jpg
