Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Short description,Long description,external link,thumbnail,Type,Region,Category
Northwest Community Bail Fund,northwest-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f70da59b8bf2b86c3ed,Fri Sep 25 2020 15:40:32 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 16:09:41 GMT+0000 (Coordinated Universal Time),,The Northwest Community Bail Fund (NCBF) provides cash bail for marginalized people charged with crimes who are unable to afford bail.,,https://www.nwcombailfund.org/contact/,,,"Seattle, WA",Bail Funds
Nashville Community Bail Fund,nashville-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6fe1e50e16b503e2f4,Fri Sep 25 2020 15:40:31 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:31 GMT+0000 (Coordinated Universal Time),,"The Nashville Community Bail Fund frees low-income persons from jail, connects with their loved ones, and works to end wealth-based detention through community partnerships.",,https://nashvillebailfund.org/,,,"Nashville, TN",Bail Funds
Memphic Community Bail Fund,memphic-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6e070b14106a9004f3,Fri Sep 25 2020 15:40:30 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:30 GMT+0000 (Coordinated Universal Time),,Our mission is to advance policies and programs within Shelby County and the State of Tennessee that strengthen the right to counsel.,,https://justcity.org/what-we-do/mcbfund/,,,"Memphis, TN",Bail Funds
Soda City Bail Out,soda-city-bail-out,5f6e0c75b440854ac809697c,5f6e0f6d6da8a5e4cc3144b9,Fri Sep 25 2020 15:40:29 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:29 GMT+0000 (Coordinated Universal Time),,Our mission is to keep marginalized people out of detention and to raise abolitionist political consciousness by organizing people to build community without jails and prisons.,,https://sodacitybail.org/,,,"Columbia, SC",Bail Funds
Philadelphia Bail Fund,philadelphia-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6c483338280f29b42e,Fri Sep 25 2020 15:40:28 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:28 GMT+0000 (Coordinated Universal Time),,A revolving fund that posts bail for people who are indigent and cannot afford bail.,,https://www.phillybailfund.org/#,,,"Philadelphia, PA",Bail Funds
Philadelphia Community Bail Fund,philadelphia-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6b418a220f2e77d582,Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),,,,https://www.phillybailout.com/,,,"Philadelphia, PA",Bail Funds
Portland Freedom Fund,portland-freedom-fund,5f6e0c75b440854ac809697c,5f6e0f6b070b1439ca9004f2,Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),,A volunteer-run abolitionist organization currently dedicated to reducing harms by the criminal justice system through posting bail.,,https://portlandfreedomfund.org/,,,"Protland, OR",Bail Funds
North Carolina Community Bail Fund,north-carolina-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6b164cd19697e84e44,Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:27 GMT+0000 (Coordinated Universal Time),,The North Carolina Community Bail Fund of Durham fights to end cash bail and provides assistance to those who cannot afford it.,,https://www.nccbailfund.org/,,,"Durham, NC",Bail Funds
Emergency RElease Fund - NY,emergency-release-fund-ny,5f6e0c75b440854ac809697c,5f6e0f6a9dbc61c5ff440cdd,Fri Sep 25 2020 15:40:26 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:26 GMT+0000 (Coordinated Universal Time),,The mission of the Emergency Release Fund is to ensure that no trans person at risk in New York City jails remains in detention before trial.,,https://emergencyreleasefund.com/,,,"New York, NY",Bail Funds
Kansas City Community Bail Fund,kansas-city-community-bail-fund,5f6e0c75b440854ac809697c,5f6e0f6a420944c65cba3ec9,Fri Sep 25 2020 15:40:26 GMT+0000 (Coordinated Universal Time),Fri Sep 25 2020 15:40:26 GMT+0000 (Coordinated Universal Time),,Our mission is to provide bail for people without the resources to post their own.,,https://www.kccommunitybailfund.org/,,,"Kansas City, MO",Bail Funds
