Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,City,State,Website,Twitter,Facebook,Instagram,Resource Type,Short Description,Long Description,Thumbnail
Elevate MeD,elevate-med,5ef8d075b2425a0b87c447c6,5efb5549c8fa0e2711e02c32,Tue Jun 30 2020 15:07:53 GMT+0000 (Coordinated Universal Time),Tue Jun 30 2020 15:07:53 GMT+0000 (Coordinated Universal Time),Tue Jun 30 2020 15:45:04 GMT+0000 (Coordinated Universal Time),,,https://www.elevatemed.org/,,,,,Prioritizing physician workforce diversity. Closing the gap of financial inequity in medical education. Empowering the next generation of physician leaders.,"<p>ElevateMeD, is a 501(c)(3) nonprofit organization managed by a Board of Directors that was developed out of the need to elevate medicine to an ideal where the physician workforce racially and ethnically represents the community served. The cost of medical education in the United States has become prohibitive, distracting bright students from seeking a career in medicine. Medical students from racial and ethnic backgrounds traditionally underrepresented in medicine are facing unprecedented levels of indebtedness, stifling their future career choices. The ElevateMeD Scholars program will provide significant financial assistance to medical students while providing them access to mentorship, leadership training, and financial management education. ElevateMeD Scholars will become the next generation of physician leaders, well poised to continue the cycle of philanthropy and dedication to community. The first set of scholars will be selected in 2020.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efb55319a346b3164211734_elevatemed.jpg
Movement for Black Lives,movement-for-black-lives,5ef8d075b2425a0b87c447c6,5ef8d19b7e9801a870e8faaf,Sun Jun 28 2020 17:21:31 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:13:24 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),,,https://m4bl.org/,,,,Non Profit Organizations,A space for Black organizations across the country to debate and discuss the current political conditions.,"<p>The Movement for Black Lives (M4BL) formed in December of 2014, was created as a space for Black organizations across the country to debate and discuss the current political conditions, develop shared assessments of what political interventions were necessary in order to achieve key policy, cultural and political wins, convene organizational leadership in order to debate and co-create a shared movement wide strategy. Under the fundamental idea that we can achieve more together than we can separately.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa5973628a04b23d42ddca_The%2BMovement%2Bfor%2BBlack%2BLives.jpg
Know Your Rights Camp,know-your-rights-camp,5ef8d075b2425a0b87c447c6,5ef8d19a6a16c325952d5f37,Sun Jun 28 2020 17:21:30 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 23:53:14 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),,,https://www.knowyourrightscamp.com/,,,,Non Profit Organizations,Our mission is to advance the liberation and well-being of Black and Brown communities.,"<p>Our mission is to advance the liberation and well-being of Black and Brown communities through education, self-empowerment, mass-mobilization and the creation of new systems that elevate the next generation of change leaders.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef92d6404384b001ace0089_KnowYourRightsCamp.jpg
Father's UpLift,fathers-uplift,5ef8d075b2425a0b87c447c6,5ef8d19a3e683e641a8e885f,Sun Jun 28 2020 17:21:30 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 23:53:33 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Massachusetts,Boston,https://www.fathersuplift.org/,,,,Non Profit Organizations,The country's first mental health and substance abuse treatment facility for fathers and families.,"<p>Fathers’ UpLift works to assist fathers in overcoming barriers (financial, oppressive, emotional, traumatic and addiction-based barriers) that prevent them from remaining engaged in their children’s lives. We also provide mentoring, cultural outings and counseling to children who are growing up without their fathers. We uplift fathers and strengthen families nationwide through service, love, and encouragement.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef92d77f54f596b467b0295_FathersUpLift.jpg
Black Leaders Organizing for Communities,black-leaders-organizing-for-communities,5ef8d075b2425a0b87c447c6,5ef8d1990bef5728da1d209f,Sun Jun 28 2020 17:21:29 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:14:37 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Milwaukee,Wisconsin,https://www.blocbybloc.org/our-vision,,,,Non Profit Organizations,"We are uniters, working to lift up the Black citizens, leaders, and businesses of our community.","<p>The concerns and needs of the communities we represent always come first. Community-based organizing and face-to-face conversations lead to change. So we listen in order to build transformational, not transactional, relationships.We are uniters, working to lift up the Black citizens, leaders, and businesses of our community. We are transparent in our work to ensure the community we advocate for can hold us accountable.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8de0c85b43557a2ee97e5_BLOC.jpg
Black Lives Matter DC,black-lives-matter-dc,5ef8d075b2425a0b87c447c6,5ef8d199abedb09bdc895133,Sun Jun 28 2020 17:21:29 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 18:18:59 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Washington D.C.,Washington D.C.,http://www.blacklivesmatterdmv.org/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef8df1185b435b82aee9ac0_BLM%20DC.png
BOLD,bold,5ef8d075b2425a0b87c447c6,5ef8d1999bb1bad34dd05ea9,Sun Jun 28 2020 17:21:29 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:14:59 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),New Market,Tennessee,https://boldorganizing.org/,,,,Non Profit Organizations,BOLD is a national training intermediary focused on transforming the practice of Black organizers.,"<p>BOLD (Black Organizing for Leadership and Dignity) is a national training intermediary focused on transforming the practice of Black organizers in the US to increase their alignment, impact and sustainability to win progressive change. BOLD carries out its mission through training programs, coaching and technical assistance for BOLD alumni and partners.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa59d21fc7e76c520b69e0_BOLD.png
Black Lives Matter Nashville,black-lives-matter-nashville,5ef8d075b2425a0b87c447c6,5ef8d198dc4b9d197b4b3511,Sun Jun 28 2020 17:21:28 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 23:54:43 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Nashville,Tennessee,https://blacklivesmatternashville.wordpress.com/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef92dbf3a433a5e5447211d_BLMAnywhere.png
Black Lives Matter Memphis,black-lives-matter-memphis,5ef8d075b2425a0b87c447c6,5ef8d1989bb1ba7dbed05ea8,Sun Jun 28 2020 17:21:28 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 17:20:55 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Memphis,Tennessee,http://www.blacklivesmattermemphis.org/,,,,Non Profit Organizations,#BlackLivesMatter was founded in 2013 in response to the acquittal of Trayvon Martin’s murderer.,"<p>Black Lives Matter Foundation, Inc is a global organization in the US, UK, and Canada, whose mission is to eradicate white supremacy and build local power to intervene in violence inflicted on Black communities by the state and vigilantes. By combating and countering acts of violence, creating space for Black imagination and innovation, and centering Black joy, we are winning immediate improvements in our lives.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5efa22f58f8a178101be9942_BLM%20Memphis.png
The People's Solidarity Society,the-peoples-solidarity-society,5ef8d075b2425a0b87c447c6,5ef8d198e576e5a0c761b3ba,Sun Jun 28 2020 17:21:28 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 23:55:46 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Charleston,South Carolina,https://www.facebook.com/pg/PeoplesSolidaritySociety/about/?ref=page_internal,,,,Non Profit Organizations,"The IWW is a worker-led union dedicated to direct action, workplace democracy, and industrial unionism.","<p>The IWW is a worker-led union dedicated to direct action, workplace democracy, and industrial unionism.We want our workplaces run for the benefit of workers and their communities rather than for a handful of bosses.IWW members are organizing to win better conditions today and to build a better world tomorrow.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef92dfbc7afd001e686e28f_PeoplesSolidaritySociety.jpg
