Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Thumbnail,short description,long description,Category,Resource Type
Bodega Boys,bodega-boys,5ee2e19f496d2260820fd718,5ee2e83be25a0c7846b3c35b,Fri Jun 12 2020 02:28:11 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:41:35 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://open.spotify.com/show/2ZgrSa9Ar0EAdlitOiMC6r?si=c6bzW69uTW2HSxI0_hReYw,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50fcc5819c45450e7e0da_bodega%20boys%20icon.jpg,Desus Nice (@Desusnice) and The Kid Mero (@thekidmero) are the Bodega Boys,<p>Desus Nice (@Desusnice) and The Kid Mero (@thekidmero) are the Bodega Boys</p>,Resource,Podcasts
Black Men Can't Jump [In Hollywood],black-men-cant-jump-in-hollywood,5ee2e19f496d2260820fd718,5ee2e83b21e746df9b26c5c5,Fri Jun 12 2020 02:28:11 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:18:32 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.stitcher.com/podcast/forever-dog-podcast-network/black-men-cant-jump-in-hollywood,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50a655b8c1bc9372209c5_black%20men%20cant%20jump%20icon.jpg,Black Men Can't Jump [In Hollywood] is a comedic podcast that reviews films with leading actors of color and analyzes them in the context of race and Hollywood's diversity issues.,"<p>Black Men Can't Jump [In Hollywood] is a comedic podcast that reviews films with leading actors of color and analyzes them in the context of race and Hollywood's diversity issues. Hosted by Jonathan Braylock, Jerah Milligan, and James III. BMCJ is an iTunes Editor's Choice podcast and has reached #2 on the iTunes Film/TV charts. BMCJ has also been covered by multiple websites including Huffington Post, Splitsider, Salon, The Daily Dot, and more. Produced by the Forever Dog Podcast Network.</p>",Resource,Podcasts
Locally Famous by Jacolby,locally-famous-by-jacolby,5ee2e19f496d2260820fd718,5ee2e83a990f029a18cfc3a6,Fri Jun 12 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 17:57:13 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/locally-famous/id1503599998,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee664f7d99a795be5a7db04_Locally%20Famous.jpg,Come along and join Jacolby Conway on the road to become “Locally Famous” !,"<p>Come along and join Jacolby Conway on the road to become “Locally Famous” ! You never know who might pop up, what’s on sale or what the topic of choice may be...but there will ALWAYS be something everyone can relate to. If you don’t know who he is, get to know him!</p>",Resource,Podcasts
Balanced Black Girl,balanced-black-girl,5ee2e19f496d2260820fd718,5ee2e83a5a0fa8f416897911,Fri Jun 12 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:19:29 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://balancedblackgirl.libsyn.com,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50a9e7d4707d860a86089_balanced%20black%20girl%20icon.jpg,Balanced Black Girl is a podcast dedicated to helping you feel your best.,"<p>Balanced Black Girl is a podcast dedicated to helping you feel your best. Tune in for approachable health, self-care, personal development, and well-being advice from Black women wellness experts.</p>",Resource,Podcasts
Black Girl Podcast,black-girl-podcast,5ee2e19f496d2260820fd718,5ee2e83a21e7462b4926c5c4,Fri Jun 12 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:00:03 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://soundcloud.com/BLACKGIRLPODCAST,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee665a0921007bad6f5df22_black%20girl%20podcast.jpg,"The Black Girl Podcast is a new audio series about life issues, sisterhood, pop culture, love, growth, and the pursuit of [the hosts'] dreams.","<p>The Black Girl Podcast is a new audio series created by Scottie Beam (@scottiebeam on twitter/IG), Gia Peppers (@giapeppers), Sapphira (@sapphiraem), Bex (@BexxFrancois), and Alysha P (@AlyshaP819/@AlyshaP). After the five media phenoms met and became friends at hip hop's most iconic station, Hot 97, they decided to make their hilarious conversations about life issues, sisterhood, pop culture, love, growth, and the pursuit of their dreams to the public. Listen every week as their differing opinions and life experiences lead them to understand themselves, and the world around them, a little bit better. Hopefully, you'll laugh, argue, and learn something about yourselves, too. Follow us on Twitter and IG @blackgirlpod.</p>",Resource,Podcasts
Black Girls Heal,black-girls-heal,5ee2e19f496d2260820fd718,5ee2e83a91871353bf5f3888,Fri Jun 12 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:20:10 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podknife.com/podcasts/black-girls-heal,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50ac3a21f7b36551c39b3_BGH_podcastcover.png,Black Girls Heal helps women break out of cycles of unhealthy relationships with unavailable partners and feeling not enough.,"<p>Black Girls Heal helps women break out of cycles of unhealthy relationships with unavailable partners and feeling not enough by combining coaching, therapeutic support, and practical tools.Every episode, we will talk about intimacy, attachment, healing unresolved trauma, and growing in our self worth.</p>",Resource,Podcasts
"Yes, Girl",yes-girl,5ee2e19f496d2260820fd718,5ee2e83a21e74666cf26c5c3,Fri Jun 12 2020 02:28:10 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 17:55:37 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://www.stitcher.com/podcast/cadence13/yes-girl,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee580bb7233d091e43e13fa_TB%20Logo.svg,"The award-nominated, podcast fills your glass with celebrity interviews, pop culture and unapologetic perspective.","<p>At Black Girl Magic headquarters, senior editors Cori Murray (@corimurray), Charli Penn (@ManWifeDog) host ESSENCE's Yes, Girl! Podcast every Thursday. The award-nominated, podcast fills your glass with celebrity interviews, pop culture and unapologetic perspective. From week-to-week, they're uplifting everybody who’s taking Black culture a little higher.</p>",Resource,Podcasts
Carefree and Black Diaries,carefree-and-black-diaries,5ee2e19f496d2260820fd718,5ee2e8396f0e2f3c7d968a46,Fri Jun 12 2020 02:28:09 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:01:07 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://anchor.fm/carefreenblkdiaries,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee665e0b699d6da2a999c91_carefree%20and%20black%20diaries.jpg,"We discuss everything from culture, politics, music, and education. But with a dash of hood on the rocks.","<p>Welcome to Carefree and Black Diaries, where we discuss everything from culture, politics, music, and education. But with a dash of hood on the rocks. Just a Black Girl navigating this thing called life and documenting it along the way.Hosted by Shaakira White</p>",Resource,Podcasts
Therapy for Black Girls,therapy-for-black-girls,5ee2e19f496d2260820fd718,5ee2e8391c268c918558be9c,Fri Jun 12 2020 02:28:09 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:03:31 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://therapyforblackgirls.com/podcast/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee666707580a11d57934888_TBG_Podcast_Cover.png,"The Therapy for Black Girls Podcast is a weekly chat about all things mental health, personal development, and all the small decisions we can make to become the best possible versions of ourselves.","<p>So often the stigma surrounding mental health issues and therapy prevents Black women from taking the step of seeing a therapist. This space was developed to present mental health topics in a way that feels more accessible and relevant.Dr. Joy Harden Bradford is a licensed psychologist, speaker and the host of the wildly popular mental health podcast, Therapy for Black Girls. Her work focuses on making mental health topics more relevant and accessible for Black women and she delights in using pop culture to illustrate psychological concepts. She has been featured in O, The Oprah Magazine, Forbes, Bustle, MTV, Huffington Post, Black Enterprise, Refinery29, Teen Vogue, and Essence.</p>",Resource,Podcasts
The Homecoming Podcast,the-homecoming-podcast,5ee2e19f496d2260820fd718,5ee2e839e473419e7ebd8519,Fri Jun 12 2020 02:28:09 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:04:46 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/the-homecoming-podcast-with-dr-thema/id1471604689,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b1abc35f7a35ec82418_homecoming%20podcast.jpg,The Homecoming Podcast with Dr. Thema is a podcast to facilitate your journey home to yourself by providing weekly inspiration and health tips.,"<p>Dr. Thema Bryant-Davis is a licensed psychologist, ordained minister, and sacred artist. Using artistic expression, spirituality, psychology and culture, Dr. Bryant-Davis is an internationally recognized lecturer, performer, and minister.The Homecoming Podcast with Dr. Thema is a podcast to facilitate your journey home to yourself by providing weekly inspiration and health tips. Welcome home!</p>",Resource,Podcasts
The Secret Lives of Black Women,the-secret-lives-of-black-women,5ee2e19f496d2260820fd718,5ee2e839c50a7b13250e56b5,Fri Jun 12 2020 02:28:09 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:21:45 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.stitcher.com/podcast/stitcher/the-secret-lives-of-black-women,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b27f3efc15fcae6eef0_secret%20lives%20of%20black%20women%20icon.jpg,Join close friends Charla Lauriston and Lauren Domino on their hunt for the ‘secrets’ that have helped black women flourish through the bullsh*t.,<p>Join close friends Charla Lauriston and Lauren Domino on their hunt for the ‘secrets’ that have helped black women flourish through the bullsh*t. They connect with guests over shared experiences by wading through everything from sex and self-care to rage and anxiety. Each conversation centers on creating a space for joy with some newfound besties while asking: how do the black women we admire stay incredibly phenomenal?</p>,Resource,Podcasts
