Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,State,Apple App Store Link,Google App Store Link,Description,Thumbnail,Platform
Stop and Frisk Watch,stop-and-frisk-watch,5ef78bb485b43520dbec36d1,5ef78d3736fe028a5009f1d4,Sat Jun 27 2020 18:17:27 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:57:32 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),New York,https://itunes.apple.com/us/app/stop-frisk-watch/id583006596,,Record and submit incidents directly and securely to your local Stop & Frisk Watch affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78fe78647a6c7bb1f1ee3_stop%20and%20frisk%20watch.jpg,Available on iOS
Mobile Justice (DC),mobile-justice-dc,5ef78bb485b43520dbec36d1,5ef78d3712deaf4061a9801c,Sat Jun 27 2020 18:17:27 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:00 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Washington DC,http://itunes.apple.com/app/id1031582479,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.dc,Record and submit incidents directly and securely to your local ACLU of Washington DC affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (VA),mobile-justice-virginia,5ef78bb485b43520dbec36d1,5ef78d3793ee3a47a180024a,Sat Jun 27 2020 18:17:27 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:03 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Virginia,http://itunes.apple.com/app/id1031621926,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.va,Record and submit incidents directly and securely to your local ACLU of Virgnia affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (PA),mobile-justice-pa,5ef78bb485b43520dbec36d1,5ef78d36e576e528596181b4,Sat Jun 27 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:07 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Pennsylvania,http://itunes.apple.com/app/id1031334029,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.pa,Record and submit incidents directly and securely to your local ACLU of Pennsylvania affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (OR),mobile-justice-oregon,5ef78bb485b43520dbec36d1,5ef78d36307f5c5f4b2b018b,Sat Jun 27 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:10 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Oregon,http://itunes.apple.com/app/id962203720,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.or,Record and submit incidents directly and securely to your local ACLU of Oregon affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (OK),mobile-justice-ok,5ef78bb485b43520dbec36d1,5ef78d3636fe02d14709f1d3,Sat Jun 27 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:13 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Oklahoma,http://itunes.apple.com/app/id1031625145,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.ok,Record and submit incidents directly and securely to your local ACLU of Oklahoma affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (NC),mobile-justice-nc,5ef78bb485b43520dbec36d1,5ef78d36a40e04288c72b8bb,Sat Jun 27 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:16 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),North Carolina,http://itunes.apple.com/app/id984955879,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.nc,Record and submit incidents directly and securely to your local ACLU of North Carolina affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (NM),mobile-justice-new-mexico,5ef78bb485b43520dbec36d1,5ef78d364d7d9d78f69243db,Sat Jun 27 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:20 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),New Mexico,http://itunes.apple.com/app/id1031620644,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.nm,Record and submit incidents directly and securely to your local ACLU of New Mexico affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (NJ),mobile-justice-nj,5ef78bb485b43520dbec36d1,5ef78d35dd7079772285e2f5,Sat Jun 27 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:23 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),New Jersey,http://itunes.apple.com/app/id1031595805,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.nj,Record and submit incidents directly and securely to your local ACLU of New Jersey affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (NE),mobile-justice-nebraska,5ef78bb485b43520dbec36d1,5ef78d35cd28ee117e9d1e84,Sat Jun 27 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:26 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Nebraska,http://itunes.apple.com/app/id962204214,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.ne,Record and submit incidents directly and securely to your local ACLU of Nebraska affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (MO),mobile-justice-missouri,5ef78bb485b43520dbec36d1,5ef78d35319e9c34bb428f5f,Sat Jun 27 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:29 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Missouri,http://itunes.apple.com/app/id960695671,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.mo,Record and submit incidents directly and securely to your local ACLU of Missouri affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (MS),mobile-justice-mississippi,5ef78bb485b43520dbec36d1,5ef78d358b9a85506541f60e,Sat Jun 27 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:33 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Mississippi,http://itunes.apple.com/app/id962204203,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.ms,Record and submit incidents directly and securely to your local ACLU of Mississippi affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (MN),mobile-justice-mn,5ef78bb485b43520dbec36d1,5ef78d35a7f6e18021efd2bf,Sat Jun 27 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:36 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Minnesota,http://itunes.apple.com/app/id1031606995,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.mn,Record and submit incidents directly and securely to your local ACLU of Minnesota affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (MI),mobile-justice-mi,5ef78bb485b43520dbec36d1,5ef78d342b6e5aae2852a1b0,Sat Jun 27 2020 18:17:24 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:39 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Michigan,http://itunes.apple.com/app/id984955837,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.mi,Record and submit incidents directly and securely to your local ACLU of Michigan affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (MD),mobile-justice-md,5ef78bb485b43520dbec36d1,5ef78d340f5e29cb24352453,Sat Jun 27 2020 18:17:24 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:42 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Maryland,http://itunes.apple.com/app/id1031609886,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.md,Record and submit incidents directly and securely to your local ACLU of Maryland affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
Mobile Justice (GA),mobile-justice-ga,5ef78bb485b43520dbec36d1,5ef78d34b88ab9340d225389,Sat Jun 27 2020 18:17:24 GMT+0000 (Coordinated Universal Time),Sun Jun 28 2020 16:55:45 GMT+0000 (Coordinated Universal Time),Mon Jun 29 2020 21:57:45 GMT+0000 (Coordinated Universal Time),Georgia,http://itunes.apple.com/app/id1031623444,https://play.google.com/store/apps/details?id=org.aclu.mobile.justice.ga,Record and submit incidents directly and securely to your local ACLU of Georgia affiliate using your phone camera.,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ef78f668e35e4ef3dd24df7_mobile%20justice.png,Available on iOS and Android
