Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Facebook Page,Twitter Page,Instagram Page,Resource Type,Short Description,Long Description,Category,Thumbnail,Cover Photo
Black LGBTQIA + Migrant Project,black-lgbtqia-migrant-project,5ee25564bee6abef220a19c7,5ee255e333373ea8bd4b0ced,Thu Jun 11 2020 16:03:47 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:05:21 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/translawcenter/?utm_source=ig_embed,Social Media,"TLC does what it takes to keep trans & gender nonconforming people alive, thriving, & fighting for liberation.","<p>Transgender Law Center changes law, policy, and attitudes so that all people can live safely, authentically, and free from discrimination regardless of their gender identity or expression.Transgender Law Center (TLC) is the largest national trans-led organization advocating for a world in which all people are free to define themselves and their futures. Grounded in legal expertise and committed to racial justice, TLC employs a variety of community-driven strategies to keep transgender and gender nonconforming people alive, thriving, and fighting for liberation.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee5074fb71cb4285576aef2_Black%20LGBTQIA%20%2B%20Migrant%20Project.png,
SisTers PGH,sisters-pgh,5ee25564bee6abef220a19c7,5ee255e002bd55445938bec2,Thu Jun 11 2020 16:03:44 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 18:31:35 GMT+0000 (Coordinated Universal Time),,,,https://www.instagram.com/sisterspgh412/?utm_source=ig_embed,Social Media,"SisTersPGH, Corp offers outreach, accurate transgender education, trans inclusion training, advocacy, and emergency housing/shelter for transgender people of Pittsburgh.","<p>A primary function of SisTers PGH is to amplify the voices of trans people within conversations around housing access, art, city/state leadership, mental health support, medical care, employment opportunities, and education.. We have learned via lived experience, that transgender leadership amplifies our ability to serve our communities in capacities that are truly effective and influential. In the words of Tarana Burke “Victims know what they need; give them the resources to do it.”  Having Trans leaders provides a voice that can garner the creation of inclusionary change within cisgender dominant spaces.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee5075ab15d05bed22516a4_SisTers%20PGH.jpeg,
Black Queer & Intersectional Collective,black-queer-intersectional-collective,5ee25564bee6abef220a19c7,5ee255dfeb468d9e4c4fe864,Thu Jun 11 2020 16:03:43 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:16:46 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.facebook.com/bqic.ohio,,https://www.instagram.com/bqic.ohio/?utm_source=ig_embed,Social Media,BQIC is a grassroots community org working for the liberation of Black LGBTQIA+ folks.,"<p>Black Queer &amp; Intersectional Collective is a grassroots community organization working toward the liberation of Black LGBTQIA+ folks through direct action, community organizing, and creating spaces. Based in Columbus, Ohio.We are a coalition of Black queer and trans people working to build a society in which Black LGBTQIA+ people from all backgrounds can thrive. We seek to dismantle racist, transphobic, and homophobic forces through community organizing, education, and creating platforms upon which we can have our voices heard.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50775fe66914d9d529d7c_Black%20Queer%20and%20Intersectional%20Collective.jpg,
The Okra Project,the-okra-project,5ee25564bee6abef220a19c7,5ee255de4141360cd50e7559,Thu Jun 11 2020 16:03:42 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 16:00:21 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 16:20:03 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/theokraproject/?utm_source=ig_embed,Social Media,A collective that seeks to address the global crisis of violence by providing resources and meals to Black Trans people worldwide.,"<p>The Okra Project is a collective that seeks to address the global crisis faced by Black Trans people by bringing home cooked, healthy, and culturally specific meals and resources to Black Trans People wherever we can reach them.     During the Middle Passage, our African ancestors snuck okra onto captive ships to sustain themselves and plant in the new world. Black Diasporic cooking traditions often use the okra plant for its versatility and it is often associated with health, prosperity, and community.In this spirit, The Okra Project hopes to extend free, delicious, and nutritious meals to Black Trans people experiencing food insecurity.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee507887da4563e6362db07_The%20Okra%20Project.png,
Black Trans Travel Fund,black-trans-travel-fund,5ee25564bee6abef220a19c7,5ee255dc3724ee7d6546ee77,Thu Jun 11 2020 16:03:40 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:06:30 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/devinmichaellowe/?utm_source=ig_embed,Social Media,"Devin Michael Lowe is a first generation Jamaican-American, a queer man of color and person of transgender experience.","<p>Devin Michael Lowe is a first generation Jamaican-American, a queer man of color and person of transgender experience. Originally from Houston, Texas, now based in NYC.  As well as being the founder and CEO of the Black Trans Travel Fund, a mutual-aid initiative that pays for car ride services for Black trans women to be able to travel safely and free of harassment, Devin is also an actor and media producer, creating content that highlights the lived experiences of queer, transgender &amp; gender non-conforming folk, with a special focus on Black folks and other communities of color.  Co-founder of the Trans Filmmakers Project, Devin is part of a collective of dedicated professionals in the film and new media industry, who's mission is to empower aspiring filmmakers of transgender experience, by providing them with the education and resources needed to develop their abilities and create their own media.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50793add438393c2bec6a_Black%20Trans%20Travel%20Fund.png,
The Marsha P Johnson Institute,the-marsha-p-johnson-institute,5ee25564bee6abef220a19c7,5ee255dbfd8fa93ac7a48bb5,Thu Jun 11 2020 16:03:39 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:06:43 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/mpjinstitute/?utm_source=ig_embed,Social Media,"Founded by Elle Hearns, we protect the human rights of ​Black transgender people.","<p>Marsha P. Johnson was an activist, self-identified drag queen, performer, and survivor. She was a prominent figure in the Stonewall uprising of 1969. Marsha went by “Black Marsha” before settling on Marsha P. Johnson. The “P” stood for “Pay It No Mind,” which is what Marsha would say in response to questions about her gender. It is the consideration of who “Black Marsha” was that inspired The Marsha P. Johnson Institute. So much of our understanding of Marsha came from the accounts of people who did not look like or come from the same place as her. As transness is now more accessible to the world, introducing the Institute to BLACK trans people who are resisting, grappling with survival, and looking for community has become a clear need.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee507a17580a16b4b916bea_Marsha%20P.%20Johnson.jpeg,
The National Black Justice Coalition,the-national-black-justice-coalition,5ee25564bee6abef220a19c7,5ee255d918d6e70f4784c817,Thu Jun 11 2020 16:03:37 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:07:03 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/nbjconthemove/?utm_source=ig_embed,Social Media,A civil rights organization focused on empowering Black #LGBTQ & SGL people,"<p>The National Black Justice Coalition (NBJC) is a civil rights organization dedicated to the empowerment of Black lesbian, gay, bisexual, transgender, queer and same gender loving (LGBTQ/SGL) people, including people living with HIV/AIDS. NBJC’s mission is to end racism, homophobia, and LGBTQ/SGL bias and stigma. As America’s leading national Black LGBTQ/SGL civil rights organization focused on federal public policy, NBJC has accepted the charge to lead Black families in strengthening the bonds and bridging the gaps between the movements for racial justice and LGBTQ/SGL equality.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee507b58c5ad93e1160c604_National%20Black%20Justice%20Coalition.jpg,
Black Transmen Inc,black-transmen-inc,5ee25564bee6abef220a19c7,5ee255d88a899c5595bebb6a,Thu Jun 11 2020 16:03:36 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:15:48 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),,,https://www.instagram.com/blacktransmeninc/?utm_source=ig_embed,Social Media,The first national non-profit organization for black transgender identified men providing resources and advocacy.,"<p>Established in 2011, The Black Trans Advocacy Coalition (BTAC) is the only national organization led by black trans people to collectively address the inequities faced in the black transgender human experience.BTAC, through our national advocacy center and affiliate state chapters work daily to end discrimination and inequities faced in health, employment, housing and education to improve the lived experience of transgender people. BTAC’s work is based in peace building, community education, public policy initiatives, empowerment programs and direct services.Black Trans Advocacy Coalition works with communities in the U.S. and across the globe to foster diversity, inclusion and equality for all people and is lead by the Black Transmen, Inc., Black Transwomen, Inc and Black Trans MX organizations.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee507bf76303d2a8ee62dd0_Black%20Transmen.png,
The Black Visions Collective,the-black-visions-collective,5ee25564bee6abef220a19c7,5ee255d68a899c210dbebb69,Thu Jun 11 2020 16:03:34 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:08:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.facebook.com/LitBLVC/app/2434330035,https://twitter.com/BlackVisionsMN,https://www.instagram.com/blackvisionscollective/,Social Media,We have nothing to lose but our chains.,"<p>BLVC is a Black-led, Queer and Trans centering organization whose mission is to organize powerful, connected Black communities and dismantle systems of violence. We do this through building strategic campaigns, investing in Black leadership, and engaging in cultural and narrative organizing. Black Visions Collective believes in a future where all Black people have autonomy, safety is community-led, and we are in right relationship within our ecosystems.We use the guidance and brilliance of our ancestors. We are determined in our pursuit of dignity for ALL Black Lives. We are committed to strategic and militant actions towards dismantling the systems of oppression and violence.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee507f604a88179e1b0e5a6_Black%20Visions%20Collective.png,
United We Dream,united-we-dream,5ee25564bee6abef220a19c7,5ee255d14f503b68c489fa53,Thu Jun 11 2020 16:03:29 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:14:01 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.facebook.com/UnitedWeDream/,https://twitter.com/unitedwedream,http://instagram.com/unitedwedream,Social Media,UWD is the first & largest immigrant youth-led organization in the nation.,"<p>WE ARE THE LARGEST IMMIGRANT YOUTH-LED COMMUNITY IN THE COUNTRY. When you’re undocumented, you face a lot of discrimination, and that creates a lot of fear. At United We Dream, we transform that fear into finding your voice. We empower people to develop their leadership, their organizing skills, and to develop our own campaigns to fight for justice and dignity for immigrants and all people. This is achieved through immigrant youth-led campaigns at the local, state, and federal level.</p>",Education,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee508025819c4bf9ae7d922_United%20We%20Dream.jpg,
