Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Thumbnail,Description,Date,Type
A Black Mamas Guide to Living and Thriving,a-black-mamas-guide-to-living-and-thriving,5f0b4420d3ce596edff35a1c,5f0b44b079f2f2fe4e834360,Sun Jul 12 2020 17:13:20 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:10 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.mamatotovillage.org/blackmamasguide.html,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48db63d9d8f739a01244_Black%20mamas%20guide%20to%20living%20and%20thriving.jpg,Providing resources and services to foster healthy mamas who have healthy babies that create healthy communities,,"Maternal, Infant and Child Health"
African American Breast Cancer Alliance,african-american-breast-cancer-alliance,5f0b4420d3ce596edff35a1c,5f0b44b5eb57f2d28e6401a4,Sun Jul 12 2020 17:13:25 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:23 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://aabcainc.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48ea066bae1a41b0b559_african_american_breast_cancer_alliance.jpeg,"Building awareness, networking, resources and support for Black women and men impacted by breast cancer.",,Black Healthcare Professional Organizations
African American Health Program,african-american-health-program,5f0b4420d3ce596edff35a1c,5f0b44b7eb9a867ae3369074,Sun Jul 12 2020 17:13:27 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:31 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),http://aahpmontgomerycounty.org/mission-vision-strategy/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48f17221921723d4b4f7_african_american_health_program.jpg,"To eliminate health disparities and improve the number and quality of years of life for African Americans and people of African descent in Montgomery County, MD",,Black Healthcare Professional Organizations
Ancient Song Doula Services,ancient-song-doula-services,5f0b4420d3ce596edff35a1c,5f0b44b2b7312892445b8a5d,Sun Jul 12 2020 17:13:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:41 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.ancientsongdoulaservices.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b48fb8fbf67774d27d907_ancient_song_doula.jpeg,"At Ancient Song Doula Services we focus on the whole and not the parts. Through community, advocacy, reproductive/birth justice and education we aim to tackle some of the issues effecting communities of color.",,"Maternal, Infant and Child Health"
"Association of Black Cardiologists, Inc.",association-of-black-cardiologists-inc,5f0b4420d3ce596edff35a1c,5f0b44b6b1f67f3a319a3b62,Sun Jul 12 2020 17:13:26 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:31:49 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),http://www.abcardio.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49031293a2e58c5b7717_association_black_cardiologists.jpg,"Promote the Prevention and Treatment of Cardiovascular Disease, including Stroke, in Blacks and other Minorities and to Achieve Health Equity for all through the Elimination of Disparities.",,Black Healthcare Professional Organizations
"Association of Minority Health Professions School,Inc.",association-of-minority-health-professions-school-inc,5f0b4420d3ce596edff35a1c,5f0b44b62f29ebf2ab182253,Sun Jul 12 2020 17:13:26 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:00 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.minorityhealth.org/about/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b490df32467b55871eabd_association_of_minority_health.jpeg,Minority Health is a company specialised in digestive health,,Black Healthcare Professional Organizations
Black Emotional and Mental Health,black-emotional-and-mental-health,5f0b4420d3ce596edff35a1c,5f0b44aff37a16fcaa015b24,Sun Jul 12 2020 17:13:19 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:14 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.beam.community/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b491c849c2b0f59c8a61f_black_emotional_and_mental.jpg,remove the barriers that Black people experience getting access to or staying connected with emotional health care and healing.,,General Mental Health Resources
Black Girl In Om,black-girl-in-om,5f0b4420d3ce596edff35a1c,5f0b44ad1daa2437c8f25dfe,Sun Jul 12 2020 17:13:17 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:22 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://www.instagram.com/blackgirlinom/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4924849c2b493dc8a621_black_girl_in_om.jpeg,"Vision: a world where womxn of color are liberated, empowered & seen.",,General Mental Health Resources
Black Health Care Coalition,black-health-care-coalition,5f0b4420d3ce596edff35a1c,5f0b44b7836652098c8ef195,Sun Jul 12 2020 17:13:27 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:30 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),http://www.bhcckc.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b492d8385165a526f70b2_black_health_care.jpeg,"Our mission to eliminate health disparities through advocacy, access to care and health promotion activities",,Black Healthcare Professional Organizations
Black Health Matters,black-health-matters,5f0b4420d3ce596edff35a1c,5f0b44ac9a1681813083643f,Sun Jul 12 2020 17:13:16 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:32:38 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://blackhealthmatters.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b4935e32edc9d8e8fae3b_black_health_matters.jpeg,Everything health and the black community,,General Mental Health Resources
Black Ladies in Public Health,black-ladies-in-public-health,5f0b4420d3ce596edff35a1c,5f0b44b4a80be0cbe5d21b99,Sun Jul 12 2020 17:13:24 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 17:35:29 GMT+0000 (Coordinated Universal Time),Sun Jul 12 2020 18:44:25 GMT+0000 (Coordinated Universal Time),https://bliph.org/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5f0b49e0b048996c7408eece_black_ladies_in_public_health.jpeg,We connect people and organizations that prioritize the health and lives of Black women and their families.,,Black Healthcare Professional Organizations
