Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Category,Platform,Short description,Long description,Thumbnail,Resource Type,External Link
Black Power Mixtape: 1967-1975,black-power-mixtape-1967-1975-1976,5eed60bdad8dd5387181c3ad,5eed629d5a332755667e6c2a,Sat Jun 20 2020 01:13:01 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:17:25 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Movie ,Available to rent,"The Black Power Mixtape 1967-1975 looks at the people, society, culture, and style that fuelled an era of convulsive change.","<p>With contemporary audio interviews from leading African American artists, activists, musicians and scholars, The Black Power Mixtape 1967-1975 looks at the people, society, culture, and style that fuelled an era of convulsive change. Utilizing an innovative format that riffs on the popular 1970s mixtape format, Mixtape is a cinematic and musical journey into the black communities of America.<br><br>At the end of the '60s and into the early '70s, Swedish interest in the U.S. civil rights movement and the U.S. anti-war movement peaked. With a combination of commitment and naiveté, Swedish filmmakers traveled across the Atlantic to explore the Black Power movement, which was being alternately ignored or portrayed in the U.S. media as a violent, nascent terrorist movement.<br><br>Despite the obstacles they encountered, both from the conservative white American power establishment and from radicalized movement members themselves, the Swedish filmmakers stayed committed to their investigation, and ultimately formed bonds with key figures in the movement. (pbs.org)</p>",,Watch,https://www.youtube.com/watch?v=FWb5HVAAQz0
13th (Ava DuVernay),13th-ava-duvernay-2,5eed60bdad8dd5387181c3ad,5eed6200632b3103895db885,Sat Jun 20 2020 01:10:24 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:15:29 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Documentary,Netflix,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"<p>13th is a 2016 American documentary by director Ava DuVernay. The film explores the ""intersection of race, justice, and mass incarceration in the United States"" and is titled after the Thirteenth Amendment to the United States Constitution, adopted in 1865, which abolished slavery throughout the United States and ended involuntary servitude except as a punishment for conviction of a crime. </p><p>DuVernay contends that slavery has been perpetuated since the end of the American Civil War through criminalizing behavior and enabling police to arrest poor freedmen and force them to work for the state under convict leasing; suppression of African Americans by disenfranchisement, lynchings and Jim Crow; politicians declaring a war on drugs that weighs more heavily on minority communities and, by the late 20th century, mass incarceration of people of color in the United States. She examines the prison-industrial complex and the emerging detention-industrial complex, discussing how much money is being made by corporations from such incarcerations. (Wikipedia)</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6e4fc8f0be26be3f2ec7_13thDocumentary.jpg,Watch,http://netflix.com
A Time to Kill,a-time-to-kill,5eed60bdad8dd5387181c3ad,5eed617789bb19e94fc06965,Sat Jun 20 2020 01:08:07 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:15:59 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Movie,Available for Rent,A young lawyer defends a Black man accused of murder.,"<p>In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6e69d6642239484a0536_atimetokill.jpeg,Watch,https://www.youtube.com/watch?v=AO3yucEjPrc
Loving,loving,5eed60bdad8dd5387181c3ad,5eed6176917d755a0c5c12b1,Sat Jun 20 2020 01:08:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:17:12 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Movie,HBO/Hulu,Based on the true story of the fight for interracial marriage.,"<p>The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6e7d2662349af36baecd_loving.jpeg,Watch,http://hbogo.com
Straight Outta Compton,straight-outta-compton,5eed60bdad8dd5387181c3ad,5eed61767032b104c893bd7a,Sat Jun 20 2020 01:08:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:18:58 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Movie,Available for Rent,The rap group NWA emerges from the mean streets of Compton.,"<p>The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6e97d65c35064b591964_straightouttacompton.jpeg,Watch,https://www.youtube.com/watch?v=jq1kJVE3Oaw
A Different World,a-different-world,5eed60bdad8dd5387181c3ad,5eed6176b6da21a2bf25e8c5,Sat Jun 20 2020 01:08:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:19:59 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Show,Amazon Prime,A group of students at a historically Black university struggle to make it through college.,<p>A group of students at a historically Black university struggle to make it through college.</p>,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6edd154958313b0157a5_adifferentworld.jpeg,Watch,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.64aed760-cdea-3112-b0d0-c74984c3f40c?autoplay=1&ref_=atv_cf_strg_wb
Say Her Name: The Life And Death Of Sandra Bland,say-her-name-the-life-and-death-of-sandra-bland,5eed60bdad8dd5387181c3ad,5eed6176ca2964da6fb5dc34,Sat Jun 20 2020 01:08:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:20:55 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Documentary,HBO/Hulu,An investigation into the death of Sandra Bland.,"<p>An investigation into what happened to activist Sandra Bland, who died in police custody after a routine traffic stop.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6ef015495800c50157d1_sayhername_sandrabland.jpeg,Watch,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.feb3b684-ca7a-70f6-64a3-36ed863ada5b?autoplay=1&ref_=atv_cf_strg_wb
Blackish,blackish,5eed60bdad8dd5387181c3ad,5eed6176ca29640d6bb5dc33,Sat Jun 20 2020 01:08:06 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:20:49 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Show,ABC,A family man struggles to gain a sense of cultural identity.,"<p>A family man struggles to gain a sense of cultural identity while raising his kids in a predominantly white, upper-middle-class neighborhood.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6f0301ebfa3e2079e8ef_blackish.jpeg,Watch,https://www.hulu.com/series/76f43549-f181-462f-94ec-2fe34b9abad5
Zion: Body of Strength,zion-body-of-strength,5eed60bdad8dd5387181c3ad,5eed6175ffcb5379f7f3cd85,Sat Jun 20 2020 01:08:05 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:22:07 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Documentary,Netflix,Teen Zion Clark finds his calling in wrestling.,"<p>Born without legs and stuck in foster care for years, teen Zion Clark finds his calling when he pursues competitive wrestling. A documentary short.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6f36fb8f07ca3ef155ef_zionbodyofstrength.jpeg,Watch,http://Netflix.com
Who Killed Malcolm X?,who-killed-malcolm-x,5eed60bdad8dd5387181c3ad,5eed61754206dd73dd651e6c,Sat Jun 20 2020 01:08:05 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 04:22:45 GMT+0000 (Coordinated Universal Time),Thu Jun 25 2020 05:03:10 GMT+0000 (Coordinated Universal Time),Documentary,Netflix,Seeking truth in the name of justice,"<p>Decades after the assassination of African American leader Malcolm X, and activist embarks on a complex mission seeking truth in the name of justice.</p>",https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5eed6f4275d5b7261dc3efc9_whokilledmalcolmx.jpeg,Watch,http://Netflix.com
